"numGeoids","profile","category","variable","base","estimate","moe","cv","percent","percent_moe","is_reliable","comparison_estimate","comparison_moe","comparison_cv","comparison_percent","comparison_percent_moe","comparison_is_reliable","difference_estimate","difference_moe","difference_reliable","difference_percent","difference_percent_moe","difference_percent_reliable"
"","demographic","asian_subgroup","asn1rc","Asn1Rc","6818","797.54435613325","7.11102076599712","1","0","true","1177700","3785","0.2","1","0","true","-1170882","3868.1134936813837","true","0","0",""
"","demographic","asian_subgroup","asn2pl","Asn1Rc","186","141.739197119216","46.3245406802027","0.0272807274860663","0.0205425783381506","false","17175","1660","5.9","0.015","0.001","true","-16989","1666.040215601052","true","1.22807274860663","2.0566903626434736","false"
"","demographic","asian_subgroup","asnbhutn","Asn1Rc","0","0","","0","0","false","100","90","54.7","0","0","false","-100","90","false","0","0",""
"","demographic","asian_subgroup","asnbng","Asn1Rc","143","126.65701717631","53.8427602934553","0.020973892637137","0.0184141315716009","false","65991","3237","3","0.056","0.003","true","-65848","3239.4769639557558","true","-3.5026107362863006","1.8656908681135493","false"
"","demographic","asian_subgroup","asnburm","Asn1Rc","11","18","99.4749930920144","0.00161337635670285","0.00263331614664587","false","4509","620","8.4","0.004","0.001","true","-4498","620.2612352871973","true","-0.23866236432971502","0.2816798524599488","false"
"","demographic","asian_subgroup","asnchinot","Asn1Rc","3194","583.154353494853","11.0989707809828","0.468465825755353","0.065670986826562","true","565173","5911","0.6","0.48","0.005","true","-561979","5939.696120173153","true","-1.153417424464699","6.586105458292085","false"
"","demographic","asian_subgroup","asncmb","Asn1Rc","0","0","","0","0","false","2700","1036","23.3","0.002","0.001","false","-2700","1036","false","-0.2","0.1","false"
"","demographic","asian_subgroup","asneast","Asn1Rc","4404","645.478117367274","8.90980729548537","0.645937224992666","0.0570411810058026","true","686453","6802","0.6","0.583","0.005","true","-682049","6832.557793388944","true","6.293722499266607","5.725990159384432","false"
"","demographic","asian_subgroup","asnflp","Asn1Rc","689","233.848241387443","20.632363664131","0.101056028160751","0.0321971744335482","false","71450","2932","2.5","0.061","0.002","true","-70761","2941.310762228296","true","4.0056028160751005","3.2259231880259174","false"
"","demographic","asian_subgroup","asnhmng","Asn1Rc","0","0","","0","0","false","60","59","59.8","0","0","false","-60","59","false","0","0",""
"","demographic","asian_subgroup","asnind","Asn1Rc","978","383.020887158912","23.8077142210026","0.143443825168671","0.0536134624321993","false","228887","4990","1.3","0.194","0.004","true","-227909","5004.678311340301","true","-5.055617483132902","5.3762471613280995","false"
"","demographic","asian_subgroup","asnindnsn","Asn1Rc","0","0","","0","0","false","3778","675","10.9","0.003","0.001","true","-3778","675","true","-0.3","0.1","false"
"","demographic","asian_subgroup","asnjpn","Asn1Rc","629","224.828823774889","21.7287848976171","0.0922557934878263","0.0311599097114949","false","25224","1431","3.4","0.021","0.001","true","-24595","1448.5541066870785","true","7.1255793487826296","3.1175951841579983","false"
"","demographic","asian_subgroup","asnkor","Asn1Rc","482","141.01418368377","17.7848356876452","0.070695218539161","0.0189574235508897","true","85212","2865","2","0.072","0.002","true","-84730","2868.4682323498023","true","-0.13047814608389974","1.9062631184803094","false"
"","demographic","asian_subgroup","asnlao","Asn1Rc","11","18","99.4749930920144","0.00161337635670285","0.00263331614664587","false","538","173","19.5","0","0","true","-527","173.93389548906217","false","0.161337635670285","0.263331614664587","false"
"","demographic","asian_subgroup","asnmalsn","Asn1Rc","0","0","","0","0","false","1750","544","18.9","0.001","0","true","-1750","544","true","-0.1","0","true"
