"numGeoids","profile","category","variable","base","estimate","moe","cv","percent","percent_moe","is_reliable","comparison_estimate","comparison_moe","comparison_cv","comparison_percent","comparison_percent_moe","comparison_is_reliable","difference_estimate","difference_moe","difference_reliable","difference_percent","difference_percent_moe","difference_percent_reliable"
"","economic","class_of_worker","cvem16pl4","CvEm16pl4","66190","1792.39420887259","1.64617214500633","1","0","true","4053141","9894","0.1","1","0","true","-3986951","10055.044157038794","true","0","0",""
"","economic","class_of_worker","gvtwrkr","CvEm16pl4","6053","521.771022575996","5.24014591047566","0.0914488593443118","0.00748385191001529","true","531808","5765","0.7","0.131","0.001","true","-525755","5788.563725139424","true","-3.9551140655688215","0.755036683950121","true"
"","economic","class_of_worker","prvwswrkr","CvEm16pl4","55601","1693.48664004178","1.85154072969843","0.840021151231304","0.0117115723763562","true","3254637","8485","0.2","0.803","0.001","true","-3199036","8652.347773870397","true","3.7021151231303975","1.175418765915491","true"
"","economic","class_of_worker","slfemninc","CvEm16pl4","4429","494.413794305944","6.78608033547809","0.0669134310318779","0.00724650645191021","true","261635","4106","1","0.065","0.001","true","-257206","4135.659681356772","true","0.1913431031877897","0.7315179817173075","false"
"","economic","class_of_worker","updfmwrkr","CvEm16pl4","107","72.6154253585283","41.2552483359534","0.00161655839250642","0.00109620175141709","false","5061","634","7.6","0.001","0.001","true","-4954","638.1449678560507","true","0.061655839250642","0.14837985981291046","false"
"","economic","commute_to_work","cw_crpld","Wrkr16pl","1433","287.939229699602","12.2148670907252","0.0221131737728192","0.00440192066474708","true","177245","3363","1.2","0.045","0.001","true","-175812","3375.304134444776","true","-2.28868262271808","0.4514078592440252","true"
"","economic","commute_to_work","cw_drvaln","Wrkr16pl","7708","647.113591265089","5.10355633562011","0.118945110565869","0.00944073325778758","true","883066","6519","0.4","0.223","0.002","true","-875358","6551.039383181878","true","-10.4054889434131","0.9650256185443808","true"
"","economic","commute_to_work","cw_oth","Wrkr16pl","2616","375.506324846866","8.72596797000609","0.0403685014582658","0.00568835614539609","true","112933","2992","1.6","0.029","0.001","true","-110317","3015.471604906934","true","1.13685014582658","0.5775586172577244","false"
"","economic","commute_to_work","cw_pbtrns","Wrkr16pl","45368","1561.4957572789","2.09230634460144","0.700091045167662","0.0146202624251346","true","2223087","10073","0.3","0.562","0.002","true","-2177719","10193.31143446525","true","13.809104516766197","1.4756424817000988","true"
"","economic","commute_to_work","cw_wlkd","Wrkr16pl","4681","531.376514347407","6.90077412273774","0.0722343101399627","0.00795816324754675","true","392607","5774","0.9","0.099","0.001","true","-387926","5798.399520557376","true","-2.67656898600373","0.8020745743046828","true"
"","economic","commute_to_work","cw_wrkdhm","Wrkr16pl","2997","394.182698757822","7.99548684972353","0.0462478588954215","0.00594973114564197","true","164594","3729","1.4","0.042","0.001","true","-161597","3749.776126650763","true","0.42478588954214924","0.6033183297847174","false"
"","economic","commute_to_work","mntrvtm","mean","41.31718603371841","1.8078427850202552","2.659892117492041","","","true","41.2","0.1","0.1","","","true","0.1171860337184043","1.810606399897502","false","","",""
"","economic","commute_to_work","wrkr16pl","Wrkr16pl","64803","1772.94387954047","1.66315978329877","1","0","true","3953532","9967","0.2","1","0","true","-3888729","10123.458845671277","true","0","0",""
"","economic","earnings","mdefftwrk","median","41386.86131386861","1920.38009157854","2.820712356360303","","","true","51327","284","0.3","","","true","-9940.138686131388","1941.2665185726564","true","","",""
"","economic","earnings","mdemftwrk","median","41719.46644435181","1647.1798552691214","2.400138892756125","","","true","54127","221","0.2","","","true","-12407.533555648188","1661.9393718196834","true","","",""
"","economic","earnings","mdewrk","median","32481.83893731839","1322.2182254051324","2.4745522499055927","","","true","38845","255","0.4","","","true","-6363.161062681611","1346.5830964309248","true","","",""
"","economic","economic__special_variable","aghhinc","MnHHInc","3154582400","106444252.837429","2.05123037790229","0","0","true","307989432000","2361252362","0.5","0","0","true","-304834849600","2363650375.1639533","true","0","0",""
"","economic","economic__special_variable","agip15pl","PerCapInc","3259294800","109227870.568382","2.03724809790649","0","0","true","318266008500","2111708243","0.4","0","0","true","-315006713700","2114531255.6836445","true","0","0",""
"","economic","economic__special_variable","agttm","MnTrvTm","2553650","82805.7048095118","1.97121040369147","0","0","true","156042185","593582","0.2","0","0","true","-153488535","599329.9387424259","true","0","0",""
"","economic","economic__special_variable","e10t12pt5","MdEWrk","3168","395.800454774878","7.5949551513401","0","0","true","169608","0","","0","0","false","-166440","395.800454774878","true","0","0",""
"","economic","economic__special_variable","e12pt5t15","MdEWrk","2814","375.800478977875","8.11834183355638","0","0","true","144620","0","","0","0","false","-141806","375.800478977875","true","0","0",""
"","economic","economic__special_variable","e15t17pt5","MdEWrk","3488","418.234384047988","7.28915786034948","0","0","true","173274","0","","0","0","false","-169786","418.234384047988","true","0","0",""
"","economic","economic__special_variable","e17pt5t20","MdEWrk","2639","369.177464100939","8.50412998616587","0","0","true","126285","0","","0","0","false","-123646","369.177464100939","true","0","0",""
"","economic","economic__special_variable","e20t22pt5","MdEWrk","4681","495.686392792863","6.43728079811568","0","0","true","196961","0","","0","0","false","-192280","495.686392792863","true","0","0",""
"","economic","economic__special_variable","e22pt5t25","MdEWrk","2311","336.772920526577","8.85872694294308","0","0","true","107043","0","","0","0","false","-104732","336.772920526577","true","0","0",""
"","economic","economic__special_variable","e7pt5t10","MdEWrk","1969","316.1724213147","9.76140578093272","0","0","true","118902","0","","0","0","false","-116933","316.1724213147","true","0","0",""
"","economic","economic__special_variable","ern100pl","MdEWrk","4061","404.797480229312","6.05952956365744","0","0","true","640046","0","","0","0","false","-635985","404.797480229312","true","0","0",""
"","economic","economic__special_variable","ern25t30","MdEWrk","5058","533.788347568585","6.41540918739082","0","0","true","262316","0","","0","0","false","-257258","533.788347568585","true","0","0",""
"","economic","economic__special_variable","ern2pt5t5","MdEWrk","1510","262.954368664983","10.5861377509605","0","0","true","128242","0","","0","0","false","-126732","262.954368664983","true","0","0",""
"","economic","economic__special_variable","ern30t35","MdEWrk","4818","504.882164470087","6.37026253461988","0","0","true","257513","0","","0","0","false","-252695","504.882164470087","true","0","0",""
"","economic","economic__special_variable","ern35t40","MdEWrk","4492","490.805460442322","6.64207439963951","0","0","true","217597","0","","0","0","false","-213105","490.805460442322","true","0","0",""
"","economic","economic__special_variable","ern40t45","MdEWrk","4856","483.09212371969","6.04763228043256","0","0","true","235829","0","","0","0","false","-230973","483.09212371969","true","0","0",""
"","economic","economic__special_variable","ern45t50","MdEWrk","2973","378.609297297359","7.74159527535784","0","0","true","155389","0","","0","0","false","-152416","378.609297297359","true","0","0",""
"","economic","economic__special_variable","ern50t55","MdEWrk","4105","420.259443677355","6.22355336071519","0","0","true","213254","0","","0","0","false","-209149","420.259443677355","true","0","0",""
"","economic","economic__special_variable","ern55t65","MdEWrk","4629","452.24440295044","5.93909288607293","0","0","true","294509","0","","0","0","false","-289880","452.24440295044","true","0","0",""
"","economic","economic__special_variable","ern5t7pt5","MdEWrk","2479","342.230916195483","8.39221904595522","0","0","true","149059","0","","0","0","false","-146580","342.230916195483","true","0","0",""
