"numGeoids","profile","category","variable","base","estimate","moe","cv","percent","percent_moe","is_reliable","comparison_estimate","comparison_moe","comparison_cv","comparison_percent","comparison_percent_moe","comparison_is_reliable","difference_estimate","difference_moe","difference_reliable","difference_percent","difference_percent_moe","difference_percent_reliable"
"","social","ancestry","afg","Pop_5","44","45","62.171870682509","0.0003385240352065","0.000346146577451482","false","4368","817","11.4","0.001","0","true","-4324","818.2383515822269","true","-0.06614759647935001","0.0346146577451482","false"
"","social","ancestry","african","Pop_5","954","337.668476467674","21.5167285700059","0.00733981658152274","0.00259346634832832","false","107555","4544","2.6","0.013","0.001","true","-106601","4556.528942078608","true","-0.566018341847726","0.27795804899141585","false"
"","social","ancestry","alb","Pop_5","36","43.1856457633784","72.9240894349517","0.0002769742106235","0.000332208961172409","false","34768","2674","4.7","0.004","0","true","-34732","2674.348705759965","true","-0.37230257893765","0.0332208961172409","true"
"","social","ancestry","alsatn","Pop_5","0","0","","0","0","false","214","81","23","0","0","false","-214","81","false","0","0",""
"","social","ancestry","amercn","Pop_5","4210","795.61359968266","11.4882585201346","0.0323905951868037","0.00608426621816555","true","377184","8097","1.3","0.045","0.001","true","-372974","8135.994714845874","true","-1.26094048131963","0.6165897778386416","false"
"","social","ancestry","arab","Pop_5","445","158.685223004538","21.6775687994998","0.00342370899242937","0.00121881458888053","false","102479","4271","2.5","0.012","0.001","true","-102034","4273.946887830966","true","-0.8576291007570629","0.1576549714429588","true"
"","social","ancestry","arabsub","Pop_5","91","102.107786186951","68.210552247537","0.000700129254631624","0.000785455351998631","false","12835","1443","6.8","0.002","0","true","-12744","1446.6081017331542","true","-0.1299870745368376","0.0785455351998631","false"
"","social","ancestry","armenian","Pop_5","78","64.2572953056694","50.0797251232713","0.000600110789684249","0.000494221484690554","false","10953","1014","5.6","0.001","0","true","-10875","1016.0339561254831","true","0","0.0494221484690554",""
"","social","ancestry","asyrchlds","Pop_5","0","0","","0","0","false","141","93","40.1","0","0","false","-141","93","false","0","0",""
"","social","ancestry","austrian","Pop_5","93","50.2195181179589","32.8264327339013","0.000715516710777374","0.000386090273840322","false","24296","1178","2.9","0.003","0","true","-24203","1179.069972478309","true","-0.22844832892226258","0.0386090273840322","true"
"","social","ancestry","austrln","Pop_5","76","53","42.3932170852664","0.000584723333538499","0.000407587243149333","false","5177","715","8.4","0.001","0","true","-5101","716.9616447202737","true","0","0.040758724314933305",""
"","social","ancestry","bahamian","Pop_5","88","123","84.9682232660956","0.000677048070412999","0.000946224383557639","false","1534","383","15.2","0","0","true","-1446","402.26608109558526","true","0.0677048070412999","0.0946224383557639","false"
"","social","ancestry","basque","Pop_5","15","22","89.1590678824721","0.000115405921093125","0.00016924509615237","false","721","213","18","0","0","true","-706","214.13313615599057","true","0.0115405921093125","0.016924509615237","false"
"","social","ancestry","belgian","Pop_5","89","56.8506816142076","38.8311065975941","0.000684741798485874","0.000437163108686408","false","4625","690","9.1","0.001","0","true","-4536","692.3380677096992","true","0","0.0437163108686408",""
"","social","ancestry","belizean","Pop_5","284","154.353490404331","33.0394045987267","0.0021850187726965","0.00118668894490866","false","7054","1069","9.2","0.001","0","true","-6770","1080.0861076784572","true","0.11850187726965","0.118668894490866","false"
"","social","ancestry","bermudan","Pop_5","0","0","","0","0","false","344","169","29.9","0","0","false","-344","169","false","0","0",""
"","social","ancestry","brbdian","Pop_5","280","246.59480935332","53.5377354219104","0.002154243860405","0.00189670733145631","false","22110","1521","4.2","0.003","0","true","-21830","1540.8601493970828","true","-0.0845756139595","0.189670733145631","false"
"","social","ancestry","british","Pop_5","367","146.013697987552","24.1858655139514","0.00282359820274512","0.00112186250846127","false","26628","1327","3","0.003","0","true","-26261","1335.0089887337838","true","0","0.112186250846127",""
"","social","ancestry","brtwind","Pop_5","362","214.182165457351","35.967382400603","0.00278512956238075","0.00164684677309239","false","45617","2249","3","0.005","0","true","-45255","2259.1757346430577","true","-0.22148704376192502","0.164684677309239","false"
"","social","ancestry","brzlian","Pop_5","172","90.6862723900371","32.0514145720072","0.0013233212285345","0.000697175587214019","false","13148","1531","7.1","0.002","0","true","-12976","1533.6834745148687","true","-0.06766787714655001","0.0697175587214019","false"
